"wl","UV","S","M","L"
626,0,1.754e-05,0.00209212,0.33589527
627,0,1.618e-05,0.00192312,0.32398517
628,0,1.493e-05,0.0017679,0.31229852
629,0,1.377e-05,0.00162534,0.30084013
630,0,1.271e-05,0.00149441,0.28961434
631,0,1.174e-05,0.00137417,0.27862499
632,0,1.084e-05,0.00126374,0.2678755
633,0,1.001e-05,0.00116232,0.25736884
634,0,9.25e-06,0.00106916,0.24710757
635,0,8.55e-06,0.0009836,0.23709386
636,0,7.91e-06,0.00090501,0.22732949
637,0,7.31e-06,0.00083282,0.21781586
638,0,6.76e-06,0.00076649,0.20855405
639,0,6.25e-06,0.00070556,0.19954475
640,0,5.79e-06,0.00064957,0.19078835
641,0,5.36e-06,0.00059812,0.18228488
642,0,4.96e-06,0.00055084,0.17403408
643,0,4.59e-06,0.00050738,0.16603535
644,0,4.25e-06,0.00046743,0.15828779
645,0,3.94e-06,0.0004307,0.1507902
646,0,3.65e-06,0.00039693,0.14354106
647,0,3.38e-06,0.00036587,0.13653857
648,0,3.14e-06,0.0003373,0.12978061
649,0,2.91e-06,0.00031103,0.1232648
650,0,2.7e-06,0.00028685,0.11698846
651,0,2.5e-06,0.00026461,0.11094861
652,0,2.32e-06,0.00024414,0.10514201
653,0,2.16e-06,0.00022529,0.09956515
654,0,2e-06,0.00020794,0.09421426
655,0,1.86e-06,0.00019197,0.08908532
656,0,1.73e-06,0.00017725,0.08417405
657,0,1.6e-06,0.0001637,0.07947595
658,0,1.49e-06,0.00015122,0.07498632
659,0,1.38e-06,0.00013971,0.07070025
660,0,1.29e-06,0.00012911,0.06661263
661,0,1.2e-06,0.00011934,0.0627182
662,0,1.11e-06,0.00011033,0.05901155
663,0,1.03e-06,0.00010202,0.05548713
664,0,9.6e-07,9.435e-05,0.05213929
665,0,9e-07,8.728e-05,0.04896231
666,0,8.3e-07,8.076e-05,0.04595036
667,0,7.8e-07,7.474e-05,0.04309759
668,0,7.2e-07,6.918e-05,0.04039814
669,0,6.7e-07,6.405e-05,0.0378461
670,0,6.3e-07,5.931e-05,0.03543563
671,0,5.8e-07,5.494e-05,0.03316087
672,0,5.4e-07,5.09e-05,0.03101605
673,0,5.1e-07,4.716e-05,0.02899545
674,0,4.7e-07,4.371e-05,0.02709345
675,0,4.4e-07,4.052e-05,0.02530452
676,0,4.1e-07,3.757e-05,0.02362324
677,0,3.8e-07,3.484e-05,0.02204433
678,0,3.6e-07,3.232e-05,0.02056263
679,0,3.3e-07,2.998e-05,0.01917313
680,0,3.1e-07,2.782e-05,0.01787099
681,0,2.9e-07,2.583e-05,0.0166515
682,0,2.7e-07,2.398e-05,0.01551013
683,0,2.5e-07,2.226e-05,0.01444252
684,0,2.4e-07,2.068e-05,0.01344448
685,0,2.2e-07,1.921e-05,0.01251199
686,0,2.1e-07,1.785e-05,0.0116412
687,0,1.9e-07,1.658e-05,0.01082844
688,0,1.8e-07,1.541e-05,0.01007019
689,0,1.7e-07,1.433e-05,0.00936312
690,0,1.6e-07,1.333e-05,0.00870405
691,0,1.5e-07,1.239e-05,0.00808997
692,0,1.4e-07,1.153e-05,0.00751804
693,0,1.3e-07,1.073e-05,0.00698554
694,0,1.2e-07,9.98e-06,0.00648992
695,0,1.1e-07,9.29e-06,0.00602878
696,0,1.1e-07,8.65e-06,0.00559984
697,0,1e-07,8.06e-06,0.00520096
698,0,9e-08,7.5e-06,0.00483012
699,0,9e-08,6.99e-06,0.00448544
700,0,8e-08,6.51e-06,0.00416515
